reaction_id	kegg_orthologs	kegg_ec
R03966	K01821	5.3.2.6
R04137	K01692,K01782,K01825,K07511,K07514,K07515	4.2.1.17
R11089		2.5.1.127
R10216	K16873	
R11932	K22433	4.1.1.105
R12427	K03801,K10105,K23763	2.3.1.181
R12579		1.11.1.26
R12662		1.13.11.91
R00725		2.7.1.1
R07493	K09828	1.3.1.-
R02677	K18447	3.6.1.21
R11980	K21719	1.14.14.68
R06928		1.2.1.-
R12062	K06864	4.4.1.37
R01486		1.2.1.29
R00953		2.4.1.31
R01480		3.2.1.139
R09910		5.4.99.50
R03083	K01735,K13829,K13830	4.2.3.4
R02816		1.17.3.1
R07061	K17863,K17864	1.13.11.60
R01009	K00721,K09658,K09659	2.4.1.83
R12059	K06864	4.4.1.37
R04328		1.1.1.170,1.1.1.270,1.14.18.9
R11145		1.1.1.392
R10451		2.1.1.277
R11076		4.2.1.157
R02980		2.7.11.28
R06522	K01080,K04716,K04717	3.1.3.4,3.1.3.-
R08038		
R11186	K19803	2.7.4.29
R12890		
R12904	K03367,K03739,K03740,K14188	6.1.1.13
R13168		1.3.1.3
R09158		
R02451	K04112,K04113,K04114,K04115	1.3.7.8
R06383		1.1.1.296
R05375	K04102	4.1.1.55
R05981	K05546	3.2.1.207
R01630		1.14.13.64
R08116	K01856	5.5.1.1
R06746	K12719,K12720,K21780,K21781	6.2.1.53
R11348	K20942	1.14.14.27
R05647	K03273	3.1.3.82
R06331		
R03345		4.1.2.24
R10914		1.7.3.6
R10633	K11121,K11411,K11412,K11413,K11414,K11415,K11416,K11417,K12410	2.3.1.286
R08105		1.3.1.-
R06818		2.4.1.-
R11106	K14257	1.14.19.-
R05534		
R07258		2.4.1.143
R09954	K16044,K22230	1.1.1.371,1.1.1.-
R06594	K16015,K20571	1.1.1.-
R08947	K13058	2.4.1.246
R12196	K09953	3.1.1.-
R07740	K13263	2.4.1.170
R09808	K15877	1.7.1.14
R08658		3.1.3.21
R05659	K03335	
R02163		1.6.5.9
R07060		1.1.1.271
R12252	K18606	1.1.1.237
R04988	K00568	2.1.1.222
R02130		1.14.14.16
R05196	K00705,K22451	2.4.1.25
R06482	K14371,K24567,K24568,K24569	
R05814	K06042	5.4.99.60
R11952	K17951	1.14.19.53
R10667	K18285	2.5.1.120
R00732	K00220,K24018	1.3.1.43,1.3.1.79
R05419	K06912	1.14.11.-
R06011		2.4.1.165
R05910	K00727	2.4.1.102,2.4.1.148
R10275		4.2.3.139
R07433	K13065	2.3.1.133
R10227	K21568	1.23.1.3
R09624	K15802	4.2.3.60
R12432	K10105,K16869	
R05344		
R12960	K01019	2.8.2.11
R07907		2.1.1.-
R04606	K00748	2.4.1.182
R01858	K00873,K12406	2.7.1.40
R04167		3.1.3.63
R04124		
R11165	K00586	2.1.1.314
R02950		1.14.18.1
R12853	K00940	2.7.4.6
R09002	K21715	1.14.14.148
R03684		
R07531	K09837	1.14.14.158
R08239	K00569	2.1.1.67
R00216	K00029	1.1.1.40
R06977	K00836,K15785	2.6.1.76
R05835	K01442	3.5.1.24
R08814	K13235	2.4.1.-
R08496		
R11881		1.16.3.3
R06202		3.2.1.23
R11515	K14244	6.3.5.-
R02749	K01839,K15779,K22199	5.4.2.7
R11279	K20579	6.1.2.2
R03194	K00589,K02302,K02303,K02496,K13542,K13543	2.1.1.107
R09203		
R01668	K08320,K16904	3.6.1.12,3.6.1.65
R08010	K13079	1.21.3.6
R01802	K00999	2.7.8.11
R00723		3.6.1.14
R10616	K11395,K18127	4.1.2.51,4.1.2.55
R10718	K18471	1.1.1.-
R00378		2.7.7.7
R05133	K01222,K01223	3.2.1.86
R09054	K11336	4.2.1.165
R05316	K04107,K04108,K04109	1.1.7.1
R01091		5.4.3.7
R08162	K10782	3.1.2.14
R00841	K06116,K06117,K24189	3.1.3.21
